"CC(C)(C[O:11][N+:10]([O-])=O)C.[Ar]>>CC(C)(C[O:11])C.[O-][N+:10]=O.[Ar] 10,11-10;10,11-11",Heat,Initiation,homolyze
"C[C:21](C)(C)[CH2:20][O:10]>>C[C:21](C)C.[CH2:20]=[O:10] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"C[C:10](C)C.[N+:20](=O)[O-]>>C[C:10](C)(C)[N+:20](=O)[O-] 10-10,20;20-10,20",Room Temperature,Termination,recombine
"CC(C)(C[O:20])C.CC(C)([CH:11]([H:10])[O:12])C>>CC(C)(C[O:20][H:10])C.CC(C)([C:11]([H])=[O:12])C 20-20,10;10,11-20,10;10,11-11,12;12-11,12",Room Temperature,Termination,abstraction
"[O-][N+:20]([O:10]CCC=C)=O.[Ar]>>[O:10]CCC=C.[O-][N+:20]=O.[Ar] 10,20-10;10,20-20",Heat,Initiation,homolyze
"C1=CC=C(C=C1)CC[O:20][N+:21](=O)[O-].[Ar]>>[Ar].C1=CC=C(C=C1)CC[O:20].[N+:21](=O)[O-] 20,21-20;20,21-21",Heat,Initiation,homolyze
"[O:11][CH2:10][CH2:20]C1=CC=CC=C1>>[CH2:20]C2=CC=CC=C2.[CH2:10]=[O:11] 11-11,10;10,20-10,11;10,20-20",Room Temperature,Propagation,retroaddition
"[CH2:20]C1=CC=CC=C1.[O-][N+:10]=O>>[O-][N+:10]([CH2:20]C2=CC=CC=C2)=O 10-10,20;20-10,20",Room Temperature,Termination,recombine
"CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)C[O:10][N+:20]([O-])=O.[Ar]>>CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)C[O:10].[O-][N+:20]=O.[Ar] 10,20-20;10,20-10",Heat,Initiation,homolyze
"C[C:10](CO[N+]([O-])=O)(CO[N+]([O-])=O)[CH2:20][O:21]>>C[C:10](CO[N+]([O-])=O)CO[N+]([O-])=O.[CH2:20]=[O:21] 21-20,21;10,20-20,21;10,20-10",Room Temperature,Propagation,retroaddition
"[O-][N+](OCC(CO[N+]([O-])=O)(C[O:10][N+:20]([O-])=O)CC)=O.[Ar]>>[O:10]CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CC.[O-][N+:20]=O.[Ar] 10,20-10;10,20-20",Heat,Initiation,homolyze
"[O:21][CH2:20][C:10](CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O>>[O-][N+](OC[C:10](CO[N+]([O-])=O)CO[N+]([O-])=O)=O.[CH2:20]=[O:21] 21-21,20;10,20-20,21;10,20-10",Room Temperature,Propagation,retroaddition
"[O:20][CH:21]1[CH2:10]CCCC1>>[CH2:10]CCCC[CH:21]=[O:20] 20-21,20;10,21-21,20;10,21-10",Room Temperature,Propagation,retroaddition
"C[C:10](C[O:20][N+:21]([O-])=O)C>>C[C:10]1(C[O:20]1)C.[O-][N+:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"O=[N+](O)OC[C:11](C[O:10][N+:20]([O-])=O)CO[N+]([O-])=O>>O=[N+](O)OC[C:11]1(C[O:10]1)CO[N+]([O-])=O.O=[N+:20][O-] 11-10,11;10,20-10,11;10,20-20",Room Temperature,Propagation,retroaddition
"C(C(C[O:20][N+:21](=O)[O-])(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]>>C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])O[N+](=O)[O-])[O:20].[N+:21](=O)[O-] 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
"[CH2:20]([C:21](CO[N+](=O)[O-])(CO[N+](=O)[O-])O[N+](=O)[O-])[O:10]>>[CH2:20]=[O:10].C([C:21](CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"C(C(CO[N+](=O)[O-])[O:20][N+:21](=O)[O-])O[N+](=O)[O-]>>C(C(CO[N+](=O)[O-])[O:20])O[N+](=O)[O-].[N+:21](=O)[O-] 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
"[CH2:21]([CH:20](CO[N+](=O)[O-])[O:10])O[N+](=O)[O-]>>[CH2:21]O[N+](=O)[O-].C([CH:20]=[O:10])O[N+](=O)[O-] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"[CH2:10][O:20][N+:21](=O)[O-].C(C=O)O[N+](=O)[O-]>>[CH2:10]=[O:20].C(C=O)O[N+](=O)[O-].[N+:21](=O)[O-] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"C(C=O)[O:20][N+:21](=O)[O-]>>C(C=O)[O:20].[N+:21](=O)[O-] 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
"[CH2:20]([CH:21]=O)[O:10]>>[CH2:20]=[O:10].[CH:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"[H:20][CH:21]=O.N(=O)[O:10]>>[H:20][O:10]N=O.[CH:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"[CH:10]=O.N(=O)[O:20]>>[CH:10](=O)[O:20]N=O 10-10,20;20-10,20",Room Temperature,Termination,recombine
"C(=O)[O:21][N:20]=O>>C(=O)[O:21].[N:20]=O 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
