"CC(=O)[CH:21]=[CH2:20].[OH:10]>>CC(=O)[CH:21][CH2:20][OH:10] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"CC(=O)[CH:10]CO.[O:20][O]>>CC(=O)[CH:10](CO)[O:20][O] 10-10,20;20-10,20",Room Temperature,Termination,recombine
"CC(=O)C(CO)O[O:20].[N:10]=O>>CC(=O)C(CO)O[O:20][N:10]=O 10-10,20;20-10,20",Room Temperature,Termination,recombine
"CC(=O)C(CO)[O:20][O:21]N=O>>CC(=O)C(CO)[O:20].N(=O)[O:21] 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
"C/C(=C\CO[O:20])/CO.[N:10]=O>>C/C(=C\CO[O:20][N:10]=O)/CO 10-10,20;20-10,20",Room Temperature,Termination,recombine
"O=N[O:1][O:2]C/C=C(CO)\C>>[O:2]C/C=C(CO)\C.[O:1]N=O 1,2-1;2,1-2",Room Temperature,Initiation,homolyze
[O:1][N:2]=O>>[O-:1][N+:2]=O 2-1,Room Temperature,Propagation,ha resonance
"[O:1]C/C=C(C)/CO.[O-][N+:2]=O>>[O-][N+:2]([O:1]C/C=C(C)/CO)=O 1-1,2;2-2,1",Room Temperature,Termination,recombine
"[O-][N+:2]=O.[O:1]OC/C=C(CO)\C>>[O-][N+:2]([O:1]OC/C=C(C)/CO)=O 1-1,2;2-2,1",Room Temperature,Termination,recombine
"C=C(C(O[O:1])CO)C.O=[N:2]>>C=C(C)C(CO)O[O:1][N:2]=O 1-1,2;2-2,1",Room Temperature,Termination,recombine
"C=C(C([O:2][O:1]N=O)CO)C>>C=C(C([O:2])CO)C.[O:1]N=O 1,2-2;2,1-1",Room Temperature,Initiation,homolyze
"C=C(C([O:1])CO)C.[O-][N+:2]=O>>C=C(C)C(CO)[O:1][N+:2]([O-])=O 1-1,2;2-2,1",Room Temperature,Termination,recombine
"[O-][N+:2]=O.C=C(C)C(CO)O[O:1]>>C=C(C)C(CO)O[O:1][N+:2]([O-])=O 1-1,2;2-2,1",Room Temperature,Termination,recombine
"[C:21](F)([Cl:20])(Cl)Cl.[He]>>[He].[C:21](F)(Cl)Cl.[Cl:20] 20,21-20;20,21-21",Light,Initiation,homolyze
"[O-:20][O+:21]=O.[He]>>[He].[O-:20].O=[O+:21] 20,21-20;20,21-21",Light,Initiation,homolyze
"CC(O[O:1][N+:2]([O-])=O)=O>>CC(O[O:1])=O.[O-][N+:2]=O 1,2-1;2,1-2",Room Temperature,Initiation,homolyze
"CC(O[O:1])=O.[O-][N+:2]=O>>CC(O[O:1][N+:2]([O-])=O)=O 1-1,2;2-2,1",Room Temperature,Termination,recombine
"[O-:1][O+:2]=[O:3]>>[O-:1][O+:2][O:3] 2,3-3;2,3-2",Room Temperature,Initiation,resonance
"[O:1][O:2][O:3].[Cl:4]>>[O:1][O:2][O:3][Cl:4] 3-3,4;4-3,4",Room Temperature,Termination,recombine
"[O:1][O:2][O:3][Cl:4]>>[O:1][O:2].[O:3][Cl:4] 2,3-3;2,3-2",Room Temperature,Initiation,homolyze
"[O:10].[O:20][Cl:21]>>[O:10][O:20][Cl:21] 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[O:10][O:20][Cl:21]>>[O:10][O:20].[Cl:21] 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
"[O:10].[O:20][Cl:21]>>[O:10][O:20].[Cl:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"[O][O:1][Cl:2]>>[O][O:1].[Cl:2] 1,2-1;1,2-2",Room Temperature,Initiation,homolyze
"C[C:20]1([CH:10]CO[O:21]1)C(O)OO>>C[C:20](=[CH:10]CO[O:21])C(O)OO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"[H:4][C:3]([CH2:5][O:6][OH:7])([C:2](=[CH:8][OH:9])[CH3:1])[O:10][O:11]>>[H:4][C:3]([CH2:5][O:6][OH:7])[C:2](=[CH:8][OH:9])[CH3:1].[O:10][O:11] 3,10-3; 3,10-10",Room Temperature,Initiation,homolyze
"[H:7][C:6]([CH2:8][O:9][OH:10])[C:2](=[C:3]([H:4])[OH:5])[CH3:1]>>[H:7][C:6](=[C:2]([CH3:1])[C:3]([H:4])[OH:5])[CH2:8][O:9][OH:10] 3,2-3; 3,2-2,6; 6-6,2",Room Temperature,Propagation,resonance
"C[C:10](CO)[CH:20]=[CH2:21]>>C/[C:10](=[CH:20]\[CH2:21])CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,resonance
"C[C:10](CO)[CH:20]=[CH2:21]>>C/[C:10](=[CH:20]/[CH2:21])CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,resonance
"C/[C:21]([CH2:20][O:10][H])=[CH:22]\[CH2:23].[O:30][O:31]>>C/[C:21]([CH2:20][O:10][H])=[CH:22]\[CH2:23][O:30][O:31] 23-23,30;30-23,30",Room Temperature,Termination,recombine
"C/[C:21]([CH2:20][O:10][H])=[CH:22]\[CH2:23][O:30][O:31]>>C/[C:21]([CH2:20][O:10][H])=[CH:22]\[CH2:23].[O:30][O:31] 23,30-23;23,30-30",Room Temperature,Initiation,homolyze
"C/[C:21]([CH2:20][O:10][H])=[CH:22]\[CH2:23][O:30][O:31].[H:50][O:51][O:52]>>C/[C:21]([CH2:20][O:10][H])=[CH:22]\[CH2:23][O:30][O:31][H:50].[O:51][O:52] 31-31,50;50,51-31,50;50,51-51",Room Temperature,Propagation,abstraction
"C/[C:21]([CH2:20][O:10][H])=[CH:22]/[CH2:23].[O:30][O:31]>>C/[C:21]([CH2:20][O:10][H])=[CH:22]/[CH2:23][O:30][O:31] 23-23,30;30-23,30",Room Temperature,Termination,recombine
"C/[C:21]([CH2:20][O:10][H])=[CH:22]/[CH2:23][O:30][O:31]>>C/[C:21]([CH2:20][O:10][H])=[CH:22]/[CH2:23].[O:30][O:31] 23,30-23;23,30-30",Room Temperature,Initiation,homolyze
"C/[C:21]([CH2:20][O:10][H])=[CH:22]/[CH2:23][O:30][O:31].[H:50][O:51][O:52]>>C/[C:21]([CH2:20][O:10][H])=[CH:22]/[CH2:23][O:30][O:31][H:50].[O:51][O:52] 31-31,50;50,51-31,50;50,51-51",Room Temperature,Propagation,abstraction
"C/[C:1](CO)=[CH:2]\[CH2:3]>>C[C:1](CO)[CH:2]=[CH2:3] 3-3,2;2,1-2,3;2,1-1",Room Temperature,Propagation,resonance
"C[C:1](CO)[CH:2]=[CH2:3]>>C/[C:1](CO)=[CH:2]\[CH2:3] 1-1,2;3,2-1,2;2,3-3",Room Temperature,Propagation,resonance
"C/[C:20](=[CH:21]\CO)/[CH2:10]>>C[C:20](=[CH2:10])[CH:21]CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,resonance
"C[C:20](=[CH2:21])[CH:10]CO>>C[C:20](=[CH:10]CO)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,resonance
"C/C(=C\[CH2:10])/CO.[O:20][O]>>C/C(=C\[CH2:10][O:20][O])/CO 10-10,20;20-10,20",Room Temperature,Termination,recombine
"C[C:10](CO)C=C.[O:20][O]>>C[C:10](CO)(C=C)[O:20][O] 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[CH2:2]/[C](C)=C/CO.[O][O:1]>>C/C([CH2:2][O:1][O])=C\CO 1-1,2;2-2,1",Room Temperature,Termination,recombine
"C=C(C)[CH:2]CO.[O][O:1]>>C=C([CH:2]([O:1][O])CO)C 1-1,2;2-2,1",Room Temperature,Termination,recombine
"[CH3:4][C:3](=[CH:5][CH2:6][O:7][O:8][N:9]=[O:10])[CH2:2][OH:1]>>[CH3:4][C:3](=[CH:5][CH2:6][O:7])[CH2:2][OH:1].[N:9](=[O:10])[O:8] 7,8-7; 7,8-8",Room Temperature,Initiation,homolyze
[N:2](=[O:3])[O:1]>>[N+:2](=[O:3])[O-:1] 2-1,Room Temperature,Propagation,ha resonance
"[CH3:6][C:3]([CH2:4][OH:5])([CH:2]=[CH2:1])[O:7][O:8].[N:9]=[O:10]>>[CH3:6][C:3]([CH2:4][OH:5])([CH:2]=[CH2:1])[O:7][O:8][N:9]=[O:10] 9-9,8; 8-9,8",Room Temperature,Termination,recombine
"[CH3:8][C:5]([CH2:6][OH:7])([CH:9]=[CH2:10])[O:4][O:3][N:2]=[O:1]>>[CH3:8][C:5]([CH2:6][OH:7])([CH:9]=[CH2:10])[O:4].[N:2](=[O:1])[O:3] 3,4-3; 3,4-4",Room Temperature,Initiation,homolyze
"[CH3:5][C:2]([CH2:3][OH:4])([CH:6]=[CH2:7])[O:1].[N+:9](=[O:10])[O-:8]>>[CH3:5][C:2]([CH2:3][OH:4])([CH:6]=[CH2:7])[O:1][N+:9](=[O:10])[O-:8] 1-9,1; 9-1,9",Room Temperature,Termination,recombine
"[CH3:1][C:2](=[CH:5][CH2:6][O:7][O:8])[CH2:3][OH:4].[N:9]=[O:10]>>[CH3:1][C:2](=[CH:5][CH2:6][O:7][O:8][N:9]=[O:10])[CH2:3][OH:4] 8-8,9; 9-8,9",Room Temperature,Termination,recombine
"[CH3:1][C:2](=[CH:5][CH2:6][O:7])[CH2:3][OH:4].[N+:9](=[O:10])[O-:8]>>[CH3:1][C:2](=[CH:5][CH2:6][O:7][N+:9](=[O:10])[O-:8])[CH2:3][OH:4] 7-7,9; 9-7,9",Room Temperature,Termination,recombine
"CC(O[O:10])(C=C)CO.[H:20][O:21][O]>>CC(O[O:10][H:20])(C=C)CO.[O:21][O] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"[O:20][H].[CH2:1]=[C:2](C)[CH:3]=[CH2:4]>>[H][O:20][CH2:1][C:2](C)=[CH:3][CH2:4] 20-20,1;1,2-20,1;1,2-2,3;3,4-2,3;3,4-4",Room Temperature,Propagation,addition
"[O:20][H].[CH2:1]=[CH:2][C:3](C)=[CH2:4]>>[H][O:20][CH2:1][CH:2]=[C:3](C)[CH2:4] 20-20,1;1,2-20,1;1,2-2,3;3,4-2,3;3,4-4",Room Temperature,Propagation,addition
"C/C(=C\CO)/[CH2:10].[O:20][O]>>C/C(=C\CO)/[CH2:10][O:20][O] 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[CH3:6][C:5](=[CH:4][CH2:3][O:2][O:1])[CH2:7][OH:8].[N:9]=[O:10]>>[CH3:6][C:5](=[CH:4][CH2:3][O:2][O:1][N:9]=[O:10])[CH2:7][OH:8] 1-9,1; 9-1,9",Room Temperature,Termination,recombine
"[CH3:1][C:2](=[CH:5][CH2:6][O:7][O:8][N:9]=[O:10])[CH2:3][OH:4]>>[CH3:1][C:2](=[CH:5][CH2:6][O:7])[CH2:3][OH:4].[N:9](=[O:10])[O:8] 7,8-7; 7,8-8",Room Temperature,Initiation,homolyze
"[CH3:5][C:4](=[CH:3][CH2:2][O:1])[CH2:6][OH:7].[N+:9](=[O:10])[O-:8]>>[CH3:5][C:4](=[CH:3][CH2:2][O:1][N+:9](=[O:10])[O-:8])[CH2:6][OH:7] 1-1,9; 9-9,1",Room Temperature,Termination,recombine
"[O:10]OC/C=C(C)/CO.[H:20][O:21][O]>>C/C(CO)=C\CO[O:10][H:20].[O:21][O] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
